Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Yersinia pestis strain FDAARGOS_602 plasmid unnamed1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,106990,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP033694.1?report=genbank&log$=nucltop&blast_rank=30&RID=UWJMX3WD014"",""CP033694.1"")"
"Yersinia pestis strain 02023 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,77488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177545.1?report=genbank&log$=nucltop&blast_rank=31&RID=UWJMX3WD014"",""CP177545.1"")"
Yersinia pestis strain FDAARGOS_603 plasmid unnamed4,Yersinia pestis,688,688,100%,0.0,98.96,113378,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP033693.1?report=genbank&log$=nucltop&blast_rank=32&RID=UWJMX3WD014"",""CP033693.1"")"
"Yersinia pestis EV76-CN plasmid unnamed, complete sequence",Yersinia pestis EV76-CN,688,688,100%,0.0,98.96,120847,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP096667.1?report=genbank&log$=nucltop&blast_rank=33&RID=UWJMX3WD014"",""CP096667.1"")"
"Yersinia pestis strain S19960127 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,100916,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP045637.1?report=genbank&log$=nucltop&blast_rank=34&RID=UWJMX3WD014"",""CP045637.1"")"
"Yersinia pestis 8787 plasmid pMT1, complete sequence",Yersinia pestis 8787,688,688,99%,0.0,99.21,137017,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP006746.1?report=genbank&log$=nucltop&blast_rank=35&RID=UWJMX3WD014"",""CP006746.1"")"
"Yersinia pestis strain J260006 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,100915,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177670.1?report=genbank&log$=nucltop&blast_rank=36&RID=UWJMX3WD014"",""CP177670.1"")"
"Yersinia pestis CO92 plasmid, complete sequence",Yersinia pestis CO92,688,688,100%,0.0,98.96,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP009971.1?report=genbank&log$=nucltop&blast_rank=37&RID=UWJMX3WD014"",""CP009971.1"")"
"Yersinia pestis strain 166 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,100915,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP196690.1?report=genbank&log$=nucltop&blast_rank=38&RID=UWJMX3WD014"",""CP196690.1"")"
"Yersinia pestis 3067 plasmid pMT1, complete sequence",Yersinia pestis 3067,688,688,99%,0.0,99.21,137727,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP006752.1?report=genbank&log$=nucltop&blast_rank=39&RID=UWJMX3WD014"",""CP006752.1"")"
"Yersinia pestis strain 140068 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,100989,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177803.1?report=genbank&log$=nucltop&blast_rank=40&RID=UWJMX3WD014"",""CP177803.1"")"
"Yersinia pestis strain 43033 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,99017,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177447.1?report=genbank&log$=nucltop&blast_rank=41&RID=UWJMX3WD014"",""CP177447.1"")"
"Yersinia pestis strain 91003 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,106644,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177381.1?report=genbank&log$=nucltop&blast_rank=42&RID=UWJMX3WD014"",""CP177381.1"")"
"Yersinia pestis strain 50008 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,101698,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177923.1?report=genbank&log$=nucltop&blast_rank=43&RID=UWJMX3WD014"",""CP177923.1"")"
"Yersinia pestis strain 41003 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,100979,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177423.1?report=genbank&log$=nucltop&blast_rank=44&RID=UWJMX3WD014"",""CP177423.1"")"
"Yersinia pestis strain 80 plasmid pFra, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,100910,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP151608.1?report=genbank&log$=nucltop&blast_rank=45&RID=UWJMX3WD014"",""CP151608.1"")"
"Yersinia pestis strain 15020 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177484.1?report=genbank&log$=nucltop&blast_rank=46&RID=UWJMX3WD014"",""CP177484.1"")"
"Yersinia pestis strain N010084 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,106663,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177567.1?report=genbank&log$=nucltop&blast_rank=47&RID=UWJMX3WD014"",""CP177567.1"")"
"Yersinia pestis strain 90028 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,100990,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177846.1?report=genbank&log$=nucltop&blast_rank=48&RID=UWJMX3WD014"",""CP177846.1"")"
"Yersinia pestis strain 43005 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,100946,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177427.1?report=genbank&log$=nucltop&blast_rank=49&RID=UWJMX3WD014"",""CP177427.1"")"
Yersinia pestis strain FDAARGOS_601 plasmid unnamed3,Yersinia pestis,688,688,100%,0.0,98.96,132950,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP033700.1?report=genbank&log$=nucltop&blast_rank=50&RID=UWJMX3WD014"",""CP033700.1"")"



		


