bear.id,longitude,latitude
1598,-146.52473,63.91165327
1609,-147.4494979,63.91168495
1636,-154.2126267,58.51535573
1658,-150.7009165,61.50340163
1687,-136.4041502,58.32722162
1730,-151.0000117,65.45182139
1732,-150.6079401,68.54605196
1736,-153.9128725,60.38931838
1791,-160.7442999,55.84479724
1899,-151.6563114,68.42748154
1903,-135.696283,58.61957948
1912,-135.5769445,59.53133953
1982,-153.6947885,57.02431058
2003,-153.7894684,63.87021281
2004,-155.501041,59.28501526
2042,-154.7819247,58.31170977
2085,-145.1403025,62.63653139
2115,-148.0340914,62.45813143
2125,-134.8984641,56.80063709
2126,-134.0490843,58.18422029
2138,-147.3945539,67.87837436
2140,-151.5806577,61.26571436
2143,-147.5286047,59.8898073
2145,-135.3575206,58.35996563
2155,-152.0718904,60.81247423
2190,-146.9070783,65.93736232
2209,-164.9472608,65.33078898
2220,-151.908975,68.26762381
2238,-154.396115,69.26352388
2245,-150.9121198,64.29049748
2249,-148.0231202,67.6998225
2263,-148.6146799,69.66044156
2306,-138.6788852,59.4154728
2344,-152.6018271,58.17902904
2371,-131.5234107,55.42016615
2376,-150.3811189,62.54057388
2394,-139.4548609,60.29039274
2401,-134.7058874,57.89219033
2456,-151.302594,67.56442111
2463,-156.7473674,57.74969892
2479,-150.9269442,61.67264663
2483,-156.1081142,66.21845244
2497,-135.160892,57.30998987
2525,-153.5711999,57.35350961
2534,-133.6731308,58.41792236
2568,-134.8557404,57.08560842
2571,-155.415694,59.06097623
2576,-161.6457778,55.7751683
2606,-151.2997112,62.94645777
2686,-142.9502597,61.49364535
2687,-144.2713238,63.59679319
2707,-148.1587063,66.98499758
2711,-149.0212433,64.85187394
2721,-131.2620505,55.39882427
2731,-135.6707895,58.41794935
2755,-159.924119,68.74252794
2764,-147.8996596,64.55543359
2778,-154.0518926,57.28268165
2785,-150.8446646,60.72903085
2792,-160.6368218,55.74056338
2829,-160.041671,69.95438799
2846,-146.5613782,65.76985367
2855,-151.7022958,59.31202532
2862,-155.6537189,58.92391689
2865,-153.2978487,57.42449631
2878,-155.0401435,58.34273926
2912,-157.140382,57.3573826
2913,-145.5951502,64.32479484
2925,-152.1665706,57.61453253
2953,-146.8109397,63.72963543
2956,-151.974573,67.07953986
2977,-146.2487102,66.95512021
3006,-134.4618895,57.40506854
3011,-154.3250539,57.45302088
3014,-155.5145305,57.86647107
3019,-156.9392837,57.97613485
3024,-152.8502956,57.70482462
3027,-149.3424298,62.24385749
3066,-156.1568713,58.10776938
3118,-134.9032094,58.64797466
3125,-154.2856205,59.55450257
3132,-149.8890962,61.40489157
3186,-156.1957443,59.2137216
3223,-134.8142214,56.8401105
3250,-150.4172136,63.82310231
3292,-157.0828469,56.97240458
3328,-143.5960088,61.66435445
3343,-158.214052,56.76352068
3418,-136.711035,58.59894923
3419,-153.9015338,69.10581173
3426,-147.9751651,65.74034062
3442,-145.1016792,65.05885524
3473,-153.1133076,57.22962738
3514,-147.8057133,65.09030074
3522,-154.2802712,57.53661963
3525,-153.879323,57.33237787
3539,-142.3736814,63.26362298
3573,-157.2562923,58.39223849
3582,-153.3297481,60.66672201
3585,-150.5737626,68.78660927
3619,-135.2585757,57.55677958
3662,-150.0777898,61.45304454
3691,-153.9454634,57.14891828
3718,-153.2307672,57.89649749
3726,-154.4125168,58.20958263
3733,-146.9242098,66.11048586
3744,-156.7824655,58.44172654
3779,-153.6238783,57.1411732
3791,-159.8227157,68.70964461
3807,-146.1819795,63.74788209
3843,-153.7016213,59.98464523
3854,-145.8606514,64.15082379
3862,-134.2696226,57.35818781
3882,-154.5355984,59.8049335
3925,-154.2425304,59.84281646
3947,-145.8498156,66.12260092
3955,-142.4820661,64.6768813
3961,-148.3985386,61.66881558
3976,-150.1609378,65.80637014
3988,-149.6095887,63.89677383
3999,-151.0191595,67.50081578
4018,-138.2246056,59.16935579
4066,-145.3145532,61.85116488
4073,-154.1573173,58.57774056
4082,-154.3887237,59.03925125
4083,-143.5727731,63.93326212
4085,-156.5086855,59.51799639
4107,-154.460862,57.15580242
4121,-149.5336557,60.91067879
4154,-154.4564263,60.61903757
4174,-158.0358258,56.89128965
4195,-152.4079168,61.2715641
4214,-152.6654693,61.58359885
4224,-152.3205254,67.42450468
4281,-151.8157304,68.80867063
4282,-147.7246188,62.27241512
4293,-151.82001,66.45010231
4296,-152.9410443,57.6566846
4322,-152.6384292,58.13023009
4327,-153.3564422,66.56490007
4333,-157.5687605,62.01311447
4393,-149.0156683,63.11075775
4400,-150.374281,60.63863121
4410,-151.5458156,59.98660691
4438,-152.9995087,62.98492921
4440,-152.6403976,58.08784487
4479,-147.7029115,64.22971774
4484,-148.8742924,61.0851647
4495,-135.2663123,57.63183135
4520,-152.1494025,58.17933696
4557,-152.4914163,69.45623407
4558,-156.7743719,57.68556815
4561,-135.1301382,57.35676082
4602,-153.8052042,58.75374196
4605,-159.1027149,56.33517774
4608,-135.6809959,57.59358126
4627,-146.8451196,63.54369216
4634,-158.3794134,69.94918746
4642,-150.5192066,69.21210146
4660,-152.8674822,67.0053252
4679,-154.0429778,58.59775645
4705,-159.1042311,56.57822028
4751,-153.2889927,61.82997059
4763,-145.8071658,63.89381694
4766,-149.3634444,64.22384706
4784,-150.9949888,67.11554496
4789,-142.2825901,65.97567184
4815,-146.2057772,61.85996509
4819,-151.2118608,69.10312639
4826,-149.6190525,63.12905988
4839,-135.5206826,58.42255898
4850,-151.7170443,59.23056714
4855,-152.3866048,61.79297573
4875,-148.7952628,67.71095072
4897,-136.6059159,59.04238179
4928,-156.8161854,58.54336623
4937,-145.7053851,68.95877111
4939,-146.8672967,62.91719608
4942,-145.2211011,61.40641148
5004,-160.2920681,69.3104225
5005,-131.5184101,56.37662892
5019,-141.7512766,60.05248195
5021,-154.0357007,60.18455081
5041,-135.0669296,58.95637299
5057,-154.3297553,60.98514104
5058,-150.7043184,62.41853494
5076,-145.8700819,64.15241668
5087,-154.9349956,60.3900386
5112,-133.4555814,55.46577916
5122,-150.8007432,68.06542376
5199,-153.6850872,61.00704992
5201,-155.9966612,61.47818239
5269,-134.1820646,58.57624728
5300,-160.6678397,64.18814266
5313,-148.3008115,61.10859118
5329,-153.6726853,57.13662868
5355,-153.6665625,59.84452799
5365,-157.8576881,62.10511545
5387,-153.2095341,66.20783207
5412,-146.9342702,68.34864099
5434,-142.3665879,63.18912675
5438,-150.031235,63.72551489
5449,-154.3984442,58.79794613
5516,-144.786536,60.73396758
5541,-153.3086678,57.7793513
5580,-153.6636305,57.3474406
5603,-135.2219694,57.24361855
5616,-149.0088642,65.12152567
5633,-153.9054024,59.43548219
5635,-149.1435078,63.64406221
5658,-154.4174305,58.29844272
5670,-147.3415359,61.77527357
5684,-151.5726033,63.89493995
5687,-133.8886679,57.66667753
5690,-155.8487487,57.98881238
5701,-154.4705969,58.14321389
5714,-155.1826544,57.92029016
5715,-160.2766353,56.16695656
5723,-143.0133895,61.32716569
5730,-163.0754873,67.68829961
5735,-152.46051,60.96959413
5747,-150.009094,59.82413933
5761,-149.5770768,70.36741848
5787,-148.3181856,64.16674713
5838,-156.2630672,59.77326842
5851,-145.8698393,61.1447117
5857,-157.3995159,57.31205184
5869,-150.4499944,61.57489699
5876,-153.3698265,57.29305702
5911,-155.1940003,58.64475858
5954,-141.8647305,64.41712619
5980,-135.7897207,58.57133934
6009,-149.9407111,60.93508512
6024,-145.7226616,63.4235348
6048,-133.9179378,58.6804447
6061,-141.1794257,64.69887466
6071,-147.6800706,62.4723649
6092,-153.3866568,57.42472615
6111,-153.0583817,58.04318054
6165,-147.0400113,61.56459687
6177,-135.8192901,58.77709704
6214,-145.7625715,61.44274389
6218,-155.0546275,58.6171365
6239,-149.1990749,64.16799722
6254,-155.424779,68.60264373
6289,-141.5848735,62.87103305
6291,-155.5186094,69.19012239
6308,-160.1111343,56.37008634
6318,-154.3453403,58.57825691
6325,-160.2775421,56.31727863
6335,-135.7435074,57.27121756
6343,-147.3289592,63.52281624
6353,-153.9254205,57.73342835
6357,-153.0677771,68.89252085
6368,-150.6439281,60.11336426
6373,-135.9795094,57.7929649
6402,-154.6063685,58.19102679
6415,-161.4141453,55.20793121
6434,-146.1682063,64.61656257
6460,-153.7756152,57.26928317
6470,-152.8504958,57.43363301
6521,-154.6987839,56.52499479
6565,-156.6046139,58.70532145
6566,-147.1663103,61.86334804
6600,-147.5016647,65.52263166
6641,-159.4233327,59.04511182
6645,-155.8731679,66.90326134
6754,-153.9597024,58.73603063
6765,-135.6596004,57.28590393
6772,-133.7271674,58.27113534
6840,-141.0439595,63.29580219
6917,-157.0971054,57.53368924
6951,-136.4954595,59.0844903
6995,-143.5172415,62.92687039
7020,-154.7151406,61.43204865
7024,-134.7202903,56.94855236
7103,-142.3888951,64.60158394
7106,-156.7297395,60.2909097
7113,-154.5904318,65.73313983
7139,-135.8386358,59.50538265
7146,-152.950228,69.81427541
7152,-145.6123946,63.20708837
7166,-148.7829039,64.17773252
7174,-152.3887292,69.36051008
7195,-145.2003558,67.79437867
7202,-136.6151683,58.6103208
7235,-153.1657716,65.53386663
7236,-161.1794005,55.88373145
7330,-149.1994638,62.58214425
7331,-153.4948622,57.43948574
7373,-141.7647608,66.61738225
7374,-162.9721193,69.26650268
7391,-153.9347644,56.77143507
7422,-153.9824072,57.14025917
7430,-148.5136116,64.03522807
7437,-145.0594225,65.12645306
7525,-145.1362049,63.97710938
7542,-151.4633802,66.02646651
7559,-152.9658093,69.33680855
7572,-156.6218654,59.56057643
7589,-141.2729771,61.92204837
7617,-145.5884178,64.88792425
7636,-159.6780294,64.46791884
7656,-153.5735797,56.99530308
7720,-153.9990773,57.62247854
7740,-149.5095329,64.69437241
7757,-153.1046415,58.0548143
7759,-157.5834841,57.28852606
7770,-164.517554,68.44537982
7775,-151.2048583,60.44602196
7789,-154.3059526,57.43581235
7832,-145.3120918,64.94730085
7845,-135.1117323,58.99156185
7859,-133.1073778,57.40612827
7890,-145.4633443,64.74653727
7964,-133.7381703,56.62745811
7989,-134.3645025,57.96618775
8035,-134.7458064,58.25163779
8036,-153.0833697,57.50957481
8039,-157.5156872,69.03012875
8044,-159.339604,63.53293646
8049,-155.1616415,58.85231622
8052,-151.3599776,63.34433982
8145,-160.0710376,56.18364282
8162,-164.004562,65.3369695
8205,-154.8007922,60.25975422
8236,-153.4849894,57.57428952
8276,-152.6837713,62.09394825
8312,-154.133919,57.42278333
8318,-146.0284385,61.5129369
8331,-145.3703046,63.94216299
8365,-136.1626845,58.35074867
8373,-153.0577817,58.12964831
8391,-149.0147459,60.99339748
8402,-155.8057416,58.45328847
8417,-147.0376254,62.21310164
8450,-134.4310876,57.67479192
8503,-136.6722564,59.07387285
8515,-149.9526116,61.50441185
8525,-153.3354044,70.21069538
8538,-148.7031448,66.33127728
8559,-157.4284822,59.82634223
8565,-156.969422,59.44344949
8568,-152.5196214,60.43852802
8591,-147.9412846,69.07727804
8606,-153.4591588,58.80847031
8615,-146.5808877,65.95814139
8635,-147.838621,66.15796734
8641,-145.3324127,61.98214453
8649,-154.575065,58.08311637
8680,-153.1106797,67.82218481
8692,-149.1045051,62.68717486
8694,-136.3472373,59.19090974
8705,-147.3232995,62.07564819
8706,-154.653195,62.10148154
8717,-132.8267108,57.54336879
8724,-158.2909384,56.98749208
8734,-146.4700622,64.15542609
8744,-155.034648,59.59179444
8787,-161.4349243,62.12030833
8903,-150.3326397,62.60012425
8923,-156.4540287,60.9656819
8938,-145.6133469,66.63368973
8947,-147.6200245,64.01965163
8973,-146.387948,62.09659872
8995,-145.8427248,64.89364778
9041,-144.4858537,64.51300501
9062,-134.9444184,58.306942
9066,-153.3466317,57.76501632
9071,-152.432322,65.95603091
9103,-143.4834589,65.70552045
9125,-135.5660273,57.46855225
9142,-146.025676,63.53357744
9165,-133.9044575,57.04562284
9170,-134.1101195,57.29159904
9172,-156.621322,57.83468845
9178,-148.4251176,63.00651413
9206,-146.0343084,63.68390209
9207,-149.6741087,62.40848022
9270,-153.6183138,61.25899733
9278,-151.3691902,62.1471371
9287,-133.9893441,58.28667516
9316,-154.4212657,59.94439175
9383,-154.1284467,70.29514213
9438,-135.3962622,57.90858919
9453,-134.6390512,56.25007024
9492,-136.8674033,58.40468287
9525,-154.2183422,56.53864064
9541,-158.8171283,56.50705997
9552,-134.9857812,57.16902521
9554,-148.3204219,63.36768259
9568,-154.0810485,57.53611097
9592,-151.7593718,67.88624459
9614,-157.254326,57.75319383
9624,-148.2863489,62.97386083
9652,-151.0024529,60.49204662
9663,-158.2561205,56.65637794
9671,-150.3949193,61.5475348
9679,-135.0458278,57.38954802
9729,-152.5545536,61.97070324
9749,-152.5154304,69.92202575
9776,-154.5962688,57.41927025
9779,-152.8770646,57.45026673
9787,-151.5719131,59.28249525
9795,-149.7614992,62.5160242
9797,-146.4047063,64.60987229
9810,-137.862388,59.28742349
9857,-156.3490718,57.74003144
9873,-156.5682461,57.68202096
9912,-148.3589996,68.85359241
9954,-152.584458,61.64968977
9962,-134.2346415,56.3234333
9979,-155.1595628,58.87504761
9981,-152.059917,61.65616971
9987,-146.8474099,61.88267391
9996,-160.67038,67.57078828
